kind,step,total_steps,stage,span,train_loss,lr,cpu_batch_ms,prefetch_q,elapsed_s,val_loss,val_ppl
progress,1500,9153,stage2,1,6.6421,0.0005,6.2,7653,2127.8,,
eval,1500,,,,6.6421,,,,,6.7827,882.48
progress,2000,9153,stage2,1,6.2985,0.0005,6.2,7153,2840.4,,
progress,2500,9153,stage2,1,6.2293,0.0005,6.2,6653,3553.0,,
