step,stage,document_span,train_loss,grad_norm,lr,val_loss,val_ppl
1,stage1,1,9.781784057617188,2.5670089192265477,0.0001,,
2,stage1,1,9.702390670776367,2.4707381495677456,0.00010080160320641282,,
3,stage1,1,9.626301765441895,2.4621593984431445,0.00010160320641282566,,
4,stage1,1,9.536365509033203,2.4035820410009507,0.00010240480961923848,,
5,stage1,1,9.455348014831543,2.314736217498967,0.00010320641282565131,,
6,stage1,1,9.372538566589355,2.22150557517566,0.00010400801603206413,,
7,stage1,1,9.299033164978027,2.042117534294963,0.00010480961923847696,,
8,stage1,1,9.257518768310547,2.0351001479339472,0.00010561122244488978,,
9,stage1,1,9.173262596130371,1.8554531360640616,0.00010641282565130261,,
10,stage1,1,9.12979507446289,1.838537262389411,0.00010721442885771543,,
11,stage1,1,9.069112777709961,1.7499039004821813,0.00010801603206412827,,
12,stage1,1,9.017420768737793,1.7083373742995744,0.00010881763527054109,,
13,stage1,1,8.97423267364502,1.6734236976626506,0.00010961923847695392,,
14,stage1,1,8.9407377243042,1.6572593759127068,0.00011042084168336674,,
15,stage1,1,8.88986873626709,1.5875366316739798,0.00011122244488977957,,
16,stage1,1,8.835561752319336,1.5896062364599821,0.00011202404809619239,,
17,stage1,1,8.805259704589844,1.5402073507435685,0.00011282565130260521,,
18,stage1,1,8.757645606994629,1.5473832167814776,0.00011362725450901804,,
19,stage1,1,8.723176956176758,1.5386225865487932,0.00011442885771543088,,
20,stage1,1,8.68339729309082,1.5358842987395303,0.0001152304609218437,,
21,stage1,1,8.649029731750488,1.5219060717125055,0.00011603206412825651,,
22,stage1,1,8.610617637634277,1.5044149355052274,0.00011683366733466935,,
23,stage1,1,8.571478843688965,1.4971667042658474,0.00011763527054108217,,
24,stage1,1,8.535441398620605,1.4854186417657398,0.000118436873747495,,
25,stage1,1,8.498313903808594,1.4797569064566851,0.00011923847695390782,,
26,stage1,1,8.463229179382324,1.4689003450944478,0.00012004008016032065,,
27,stage1,1,8.428875923156738,1.4524601574005063,0.00012084168336673347,,
28,stage1,1,8.3865327835083,1.4557835264471655,0.00012164328657314629,,
29,stage1,1,8.360716819763184,1.4368921974253437,0.00012244488977955912,,
30,stage1,1,8.319608688354492,1.4309394335850718,0.00012324649298597196,,
31,stage1,1,8.289016723632812,1.4000893538920227,0.00012404809619238476,,
32,stage1,1,8.248086929321289,1.4129481113465192,0.0001248496993987976,,
33,stage1,1,8.215736389160156,1.3992307848550738,0.00012565130260521043,,
34,stage1,1,8.193798065185547,1.3576218010962644,0.00012645290581162326,,
35,stage1,1,8.15711498260498,1.3509668509400081,0.00012725450901803607,,
36,stage2,1,8.118816375732422,1.350207795466166,0.0001280561122244489,,
37,stage2,1,8.096662521362305,1.3186070078942476,0.00012885771543086173,,
38,stage2,1,8.06889533996582,1.2960568805242079,0.00012965931863727457,,
39,stage2,1,8.041948318481445,1.270926510252818,0.00013046092184368737,,
40,stage2,1,8.000259399414062,1.259170793344357,0.0001312625250501002,,
41,stage2,1,7.979251384735107,1.2259660599543019,0.00013206412825651304,,
42,stage2,1,7.94628381729126,1.214676561773883,0.00013286573146292584,,
43,stage2,1,7.9334588050842285,1.181707951989284,0.00013366733466933868,,
44,stage2,1,7.905717372894287,1.1425295067395922,0.0001344689378757515,,
45,stage2,1,7.870240688323975,1.1314697324947176,0.00013527054108216434,,
46,stage2,1,7.838184356689453,1.1232663757027812,0.00013607214428857717,,
47,stage2,1,7.824005126953125,1.0784898517536632,0.00013687374749498998,,
48,stage2,1,7.805306434631348,1.0299192601817293,0.0001376753507014028,,
49,stage2,1,7.7727885246276855,1.0253389295701618,0.00013847695390781565,,
50,stage2,1,7.741538047790527,0.9977936234671382,0.00013927855711422845,,
51,stage2,1,7.73504114151001,0.9426765887951929,0.00014008016032064128,,
52,stage2,1,7.715633869171143,0.8825333653209478,0.00014088176352705412,,
53,stage2,1,7.686921119689941,0.8655710383669394,0.00014168336673346692,,
54,stage2,1,7.682387351989746,0.8027166035714399,0.00014248496993987976,,
55,stage2,1,7.658083438873291,0.7671278793769144,0.0001432865731462926,,
56,stage2,1,7.645310401916504,0.7460007046253534,0.00014408817635270542,,
57,stage2,1,7.642128944396973,0.6740954900465848,0.00014488977955911825,,
58,stage2,1,7.632264137268066,0.6164331042453238,0.00014569138276553106,,
59,stage2,1,7.620786666870117,0.5717898264965272,0.0001464929859719439,,
60,stage2,1,7.602977275848389,0.5334947142159879,0.00014729458917835673,,
61,stage2,1,7.588181495666504,0.4817868416623524,0.00014809619238476953,,
62,stage2,1,7.575092315673828,0.4416470541904561,0.00014889779559118237,,
63,stage2,1,7.567153453826904,0.4004370010734765,0.0001496993987975952,,
64,stage2,1,7.5603742599487305,0.36267578819333396,0.000150501002004008,,
65,stage2,1,7.57163143157959,0.3098000665292128,0.00015130260521042084,,
66,stage2,1,7.575065612792969,0.27558249981409555,0.00015210420841683367,,
67,stage2,1,7.5619354248046875,0.24117591727873608,0.0001529058116232465,,
68,stage2,1,7.561688423156738,0.19809051877111367,0.00015370741482965934,,
69,stage2,1,7.574680328369141,0.1597812218763257,0.00015450901803607214,,
70,stage2,1,7.570017337799072,0.14306851739201867,0.00015531062124248497,,
71,stage2,1,7.564120292663574,0.12396491739286652,0.0001561122244488978,,
72,stage2,1,7.541674613952637,0.11291156440789922,0.00015691382765531064,,
73,stage2,1,7.547567844390869,0.09688662059469123,0.00015771543086172347,,
74,stage2,1,7.54888391494751,0.09835713283504557,0.00015851703406813628,,
75,stage2,1,7.557408332824707,0.11383538302976022,0.0001593186372745491,,
76,stage2,1,7.542882442474365,0.10818374835855694,0.00016012024048096194,,
77,stage2,1,7.545344352722168,0.12449066988340292,0.00016092184368737475,,
78,stage2,1,7.553377151489258,0.11861818000625839,0.00016172344689378758,,
79,stage2,1,7.566349029541016,0.14560302556328558,0.00016252505010020042,,
80,stage2,1,7.548979759216309,0.13542533935403264,0.00016332665330661322,,
81,stage2,1,7.5651140213012695,0.15426703621287552,0.00016412825651302606,,
82,stage2,1,7.575679302215576,0.13532426240439768,0.0001649298597194389,,
83,stage2,1,7.589150428771973,0.1495969403548276,0.0001657314629258517,,
84,stage2,1,7.580723762512207,0.1381538935687511,0.00016653306613226455,,
85,stage2,1,7.576268196105957,0.12254355208186192,0.00016733466933867736,,
86,stage2,1,7.561314582824707,0.12908471159819457,0.0001681362725450902,,
87,stage2,1,7.551266193389893,0.12922309765932305,0.00016893787575150303,,
88,stage2,1,7.562520503997803,0.12537307907948736,0.00016973947895791583,,
89,stage2,1,7.559659957885742,0.11780268238066353,0.00017054108216432866,,
90,stage2,1,7.551727771759033,0.09977482786842888,0.0001713426853707415,,
91,stage2,1,7.541851997375488,0.10960872031390989,0.0001721442885771543,,
92,stage2,1,7.550456523895264,0.12041982361593652,0.00017294589178356714,,
93,stage2,1,7.550220489501953,0.1097412684006004,0.00017374749498997997,,
94,stage2,1,7.544173717498779,0.13293706246876325,0.00017454909819639277,,
95,stage2,1,7.562892913818359,0.13839971721855568,0.00017535070140280563,,
96,stage2,1,7.54834508895874,0.12457654191573331,0.00017615230460921844,,
97,stage2,1,7.550479412078857,0.12186441430127314,0.00017695390781563127,,
98,stage2,1,7.550044536590576,0.1174591408094578,0.0001777555110220441,,
99,stage2,1,7.554349422454834,0.1165232490421356,0.0001785571142284569,,
100,stage2,1,7.5445122718811035,0.12155830192340666,0.00017935871743486975,,
101,stage2,1,7.558286666870117,0.14890315141294408,0.00018016032064128258,,
102,stage2,1,7.544674396514893,0.11526135388811487,0.00018096192384769538,,
103,stage2,1,7.537369728088379,0.12927793176340777,0.00018176352705410824,,
104,stage2,1,7.554357051849365,0.10928180237006621,0.00018256513026052105,,
105,stage2,1,7.558881759643555,0.12765695997722595,0.00018336673346693386,,
106,stage2,1,7.569935321807861,0.14893654258661682,0.00018416833667334672,,
107,stage2,1,7.568994522094727,0.13835159786630594,0.00018496993987975952,,
108,stage2,1,7.557629108428955,0.12313446894262721,0.00018577154308617235,,
109,stage2,1,7.555583953857422,0.11912118536653556,0.0001865731462925852,,
110,stage2,1,7.550217151641846,0.11708798843283943,0.000187374749498998,,
111,stage2,1,7.563836097717285,0.11505981414747847,0.00018817635270541083,,
112,stage2,1,7.560888767242432,0.12438143387162978,0.00018897795591182366,,
113,stage2,1,7.574932098388672,0.15671472541073267,0.00018977955911823646,,
114,stage2,1,7.563968181610107,0.1242458348769918,0.00019058116232464932,,
115,stage2,1,7.564398288726807,0.11488550804850148,0.00019138276553106213,,
116,stage2,1,7.565675258636475,0.10018482316936893,0.00019218436873747496,,
117,stage2,1,7.578578472137451,0.1482705335055023,0.0001929859719438878,,
118,stage2,1,7.576315879821777,0.16042449898596584,0.0001937875751503006,,
119,stage2,1,7.581020355224609,0.10897333694670473,0.00019458917835671343,,
120,stage2,1,7.563821315765381,0.09334782956007107,0.00019539078156312627,,
121,stage2,1,7.563672065734863,0.09745487998070712,0.00019619238476953907,,
122,stage2,1,7.559327602386475,0.11413599801577487,0.0001969939879759519,,
123,stage2,1,7.568655014038086,0.11762418457780363,0.00019779559118236474,,
124,stage2,1,7.5796589851379395,0.12149392594987174,0.00019859719438877755,,
125,stage2,1,7.564522743225098,0.11658486860206829,0.0001993987975951904,,
126,stage2,1,7.561339378356934,0.09591929503915333,0.0002002004008016032,,
127,stage2,1,7.567220687866211,0.09812946134398325,0.00020100200400801602,,
128,stage2,1,7.562077522277832,0.10036411833004703,0.00020180360721442888,,
129,stage2,1,7.561829090118408,0.11553441787304534,0.00020260521042084168,,
130,stage2,1,7.567707538604736,0.10526369286337288,0.00020340681362725452,,
131,stage2,1,7.5596089363098145,0.09960827481442477,0.00020420841683366735,,
132,stage2,1,7.5501532554626465,0.09211213292252513,0.00020501002004008015,,
133,stage2,1,7.56599760055542,0.10905656789689554,0.000205811623246493,,
134,stage2,1,7.559528827667236,0.1421795127812692,0.00020661322645290582,,
135,stage2,1,7.567324161529541,0.14084813623136144,0.00020741482965931863,,
136,stage2,1,7.56773042678833,0.10918274614078641,0.00020821643286573149,,
137,stage2,1,7.587377548217773,0.11039425742103136,0.0002090180360721443,,
138,stage2,1,7.55810022354126,0.11508028510904382,0.00020981963927855712,,
139,stage2,1,7.555602073669434,0.10907770243169479,0.00021062124248496996,,
140,stage2,1,7.561235427856445,0.1241278529060059,0.00021142284569138276,,
141,stage3,1,7.559835910797119,0.145621360665102,0.0002122244488977956,,
142,stage3,1,7.566855430603027,0.1296918793395317,0.00021302605210420843,,
143,stage3,1,7.56901741027832,0.0957946359406913,0.00021382765531062126,,
144,stage3,1,7.550398349761963,0.10831229585299186,0.0002146292585170341,,
145,stage3,1,7.560940742492676,0.13050796127132278,0.0002154308617234469,,
146,stage3,1,7.548105239868164,0.15393569727819023,0.00021623246492985973,,
147,stage3,1,7.543719291687012,0.10302794784126161,0.00021703406813627257,,
148,stage3,1,7.539670467376709,0.1099748742713716,0.00021783567134268537,,
149,stage3,1,7.554082870483398,0.11254793709066988,0.00021863727454909823,,
150,stage3,1,7.559085369110107,0.11693780941453613,0.00021943887775551104,,
151,stage3,1,7.572869777679443,0.14130464670274037,0.00022024048096192387,,
152,stage3,1,7.549170970916748,0.12083510477877026,0.0002210420841683367,,
153,stage3,1,7.556023120880127,2.4192120001912674,0.0002218436873747495,,
154,stage3,1,8.031845092773438,6.059515438845221,0.00022264529058116232,,
155,stage3,1,7.566585063934326,0.3707277444446333,0.00022344689378757518,,
156,stage3,1,7.560960292816162,0.10067773753244423,0.00022424849699398798,,
157,stage3,1,7.541640281677246,0.12261114561623933,0.0002250501002004008,,
158,stage3,1,7.532576084136963,0.12125779528172698,0.00022585170340681365,,
159,stage3,1,7.554548263549805,0.40028726847071683,0.00022665330661322645,,
160,stage3,1,7.527249813079834,0.15760132994064224,0.00022745490981963926,,
161,stage3,1,7.540150165557861,0.16198213784207394,0.00022825651302605212,,
162,stage3,1,7.548266410827637,0.13789948438852842,0.00022905811623246492,,
163,stage3,1,7.5388383865356445,0.11119788886557813,0.00022985971943887778,,
164,stage3,1,7.552596569061279,0.16308531154922978,0.0002306613226452906,,
165,stage3,1,7.555587291717529,0.1761695095122676,0.0002314629258517034,,
166,stage3,1,7.558042526245117,0.13603299010822895,0.00023226452905811626,,
167,stage3,1,7.551914215087891,0.1301467490817927,0.00023306613226452906,,
168,stage3,1,7.548733711242676,0.19111220732346396,0.00023386773547094192,,
169,stage3,1,7.550597667694092,0.11143811454507224,0.00023466933867735473,,
170,stage3,1,7.5587639808654785,0.10006346081842567,0.00023547094188376753,,
171,stage3,1,7.5560688972473145,0.09915758260005998,0.0002362725450901804,,
172,stage3,1,7.556703567504883,0.11741013058515384,0.0002370741482965932,,
173,stage3,1,7.578121662139893,0.13696207478865005,0.000237875751503006,,
174,stage3,1,7.561659812927246,0.1357040469069463,0.00023867735470941887,,
175,stage3,1,7.552393436431885,0.11778635657069257,0.00023947895791583167,,
176,stage3,1,7.541463851928711,0.11054732835648307,0.00024028056112224453,,
177,stage3,1,7.558030128479004,0.12236637185807078,0.00024108216432865734,,
178,stage3,1,7.563432693481445,0.11787669628698735,0.00024188376753507014,,
179,stage3,1,7.550136566162109,0.10802663432942196,0.000242685370741483,,
180,stage3,1,7.556318283081055,0.13202946038846844,0.0002434869739478958,,
181,stage3,1,7.550724983215332,0.1343058118292708,0.0002442885771543086,,
182,stage3,1,7.566093921661377,0.10104734137113999,0.0002450901803607214,,
