step,stage,document_span,train_loss,grad_norm,lr,val_loss,val_ppl
1,stage1,1,9.734319686889648,2.5006901055923683,0.0001,,
2,stage1,1,9.660175323486328,2.475410868856696,0.00010080160320641282,,
3,stage1,1,9.572590827941895,2.374647431479342,0.00010160320641282566,,
4,stage1,1,9.463350296020508,2.2530923388381017,0.00010240480961923848,,
5,stage1,1,9.3859281539917,2.1244946969182026,0.00010320641282565131,,
6,stage1,1,9.316437721252441,2.0216060938442637,0.00010400801603206413,,
7,stage1,1,9.24342155456543,1.9375318870866,0.00010480961923847696,,
8,stage1,1,9.189045906066895,1.8256491285439294,0.00010561122244488978,,
9,stage1,1,9.131152153015137,1.7570851851813702,0.00010641282565130261,,
10,stage1,1,9.071354866027832,1.7243832425496757,0.00010721442885771543,,
11,stage1,1,9.02399730682373,1.6672831723449422,0.00010801603206412827,,
12,stage1,1,8.976703643798828,1.6400498114782451,0.00010881763527054109,,
13,stage1,1,8.93478012084961,1.61105898643249,0.00010961923847695392,,
14,stage1,1,8.895829200744629,1.582012165247941,0.00011042084168336674,,
15,stage1,1,8.855223655700684,1.5640380517363137,0.00011122244488977957,,
16,stage1,1,8.814640998840332,1.5544966803362537,0.00011202404809619239,,
17,stage1,1,8.777946472167969,1.5356035472712382,0.00011282565130260521,,
18,stage1,1,8.734678268432617,1.543861865317864,0.00011362725450901804,,
19,stage1,1,8.693503379821777,1.5388368410170894,0.00011442885771543088,,
20,stage1,1,8.649314880371094,1.5402870085170455,0.0001152304609218437,,
21,stage1,1,8.617513656616211,1.5198449421294224,0.00011603206412825651,,
22,stage1,1,8.587235450744629,1.5033621263816133,0.00011683366733466935,,
23,stage1,1,8.55102825164795,1.495823926766871,0.00011763527054108217,,
24,stage1,1,8.514195442199707,1.4757850605006901,0.000118436873747495,,
25,stage1,1,8.477455139160156,1.4715250999052094,0.00011923847695390782,,
26,stage1,1,8.445117950439453,1.456442240512565,0.00012004008016032065,,
27,stage1,1,8.41014289855957,1.4423438567178346,0.00012084168336673347,,
28,stage1,1,8.365387916564941,1.4573221493646284,0.00012164328657314629,,
29,stage1,1,8.333826065063477,1.4280899163717256,0.00012244488977955912,,
30,stage1,1,8.304259300231934,1.4216161330331198,0.00012324649298597196,,
31,stage1,1,8.259414672851562,1.418248248745403,0.00012404809619238476,,
32,stage1,1,8.227376937866211,1.4177710480622505,0.0001248496993987976,,
33,stage1,1,8.200261116027832,1.3841886873498488,0.00012565130260521043,,
34,stage1,1,8.166425704956055,1.3820373487452944,0.00012645290581162326,,
35,stage1,1,8.135659217834473,1.374312327564643,0.00012725450901803607,,
36,stage1,1,8.105859756469727,1.3504788686396516,0.0001280561122244489,,
37,stage1,1,8.076497077941895,1.3230218369103595,0.00012885771543086173,,
38,stage1,1,8.056612968444824,1.285508680036798,0.00012965931863727457,,
39,stage1,1,8.015647888183594,1.279683789040579,0.00013046092184368737,,
40,stage1,1,7.9942731857299805,1.2605267448882809,0.0001312625250501002,,
41,stage1,1,7.9779558181762695,1.2282725348372696,0.00013206412825651304,,
42,stage1,1,7.9486985206604,1.2166906949452798,0.00013286573146292584,,
43,stage1,1,7.918179035186768,1.18883588450262,0.00013366733466933868,,
44,stage1,1,7.894263744354248,1.1600604445982163,0.0001344689378757515,,
45,stage1,1,7.867528438568115,1.1275932142779186,0.00013527054108216434,,
46,stage1,1,7.843485355377197,1.1059740314054711,0.00013607214428857717,,
47,stage1,1,7.8261189460754395,1.0879104434957232,0.00013687374749498998,,
48,stage1,1,7.801734447479248,1.0633970305556966,0.0001376753507014028,,
49,stage1,1,7.781966686248779,1.0122658754971596,0.00013847695390781565,,
50,stage1,1,7.766502857208252,0.9853386097908257,0.00013927855711422845,,
51,stage1,1,7.753151893615723,0.9420724664805571,0.00014008016032064128,,
52,stage1,1,7.7367987632751465,0.9165090283456919,0.00014088176352705412,,
53,stage1,1,7.710559368133545,0.8806658529043826,0.00014168336673346692,,
54,stage1,1,7.701161861419678,0.8263000404748787,0.00014248496993987976,,
55,stage1,1,7.680691242218018,0.7899633992203007,0.0001432865731462926,,
56,stage1,1,7.6670241355896,0.75189477211559,0.00014408817635270542,,
57,stage1,1,7.642484188079834,0.7040226544070667,0.00014488977955911825,,
58,stage1,1,7.618461608886719,0.6888671164649991,0.00014569138276553106,,
59,stage1,1,7.613953113555908,0.6357407024295487,0.0001464929859719439,,
60,stage1,1,7.591894149780273,0.6138805450733186,0.00014729458917835673,,
61,stage2,1,7.586236476898193,0.5492804640691428,0.00014809619238476953,,
62,stage2,1,7.591358184814453,0.4909009646146805,0.00014889779559118237,,
63,stage2,1,7.589051246643066,0.45096121335992023,0.0001496993987975952,,
64,stage2,1,7.578639507293701,0.4051858143547268,0.000150501002004008,,
65,stage2,1,7.584317207336426,0.36688799719476367,0.00015130260521042084,,
66,stage2,1,7.5649824142456055,0.31496354438868057,0.00015210420841683367,,
67,stage2,1,7.56369686126709,0.2808531489628121,0.0001529058116232465,,
68,stage2,1,7.564148426055908,0.24080820707019876,0.00015370741482965934,,
69,stage2,1,7.559148788452148,0.18634029647888414,0.00015450901803607214,,
70,stage2,1,7.5513596534729,0.16288632687095167,0.00015531062124248497,,
71,stage2,1,7.58256721496582,0.11188107897894231,0.0001561122244488978,,
72,stage2,1,7.5848469734191895,0.13953778169825085,0.00015691382765531064,,
73,stage2,1,7.568207740783691,0.11542391226668612,0.00015771543086172347,,
74,stage2,1,7.572184085845947,0.111214842344821,0.00015851703406813628,,
