step,stage,document_span,train_loss,grad_norm,lr,val_loss,val_ppl
1,stage1,1,9.736485481262207,2.498644026544931,0.0001,,
2,stage1,1,9.656257629394531,2.4786204239390033,0.00010080160320641282,,
3,stage1,1,9.587063789367676,2.3400069159492736,0.00010160320641282566,,
4,stage1,1,9.462966918945312,2.2594919255212025,0.00010240480961923848,,
5,stage1,1,9.753216743469238,2.677350873985116,0.00010320641282565131,,
6,stage1,1,9.334366798400879,2.0362653238527506,0.00010400801603206413,,
7,stage1,1,9.268321990966797,1.971175112390102,0.00010480961923847696,,
8,stage1,1,9.218578338623047,1.8867266288026292,0.00010561122244488978,,
9,stage1,1,9.171258926391602,1.834909361439716,0.00010641282565130261,,
10,stage1,1,9.24543571472168,1.6032056855759873,0.00010721442885771543,,
11,stage1,1,9.060022354125977,1.7194343774938479,0.00010801603206412827,,
12,stage1,1,9.011577606201172,1.6766328223729932,0.00010881763527054109,,
13,stage1,1,8.967182159423828,1.6464375612366475,0.00010961923847695392,,
14,stage1,1,8.92654037475586,1.6179252213537199,0.00011042084168336674,,
15,stage1,1,8.888409614562988,1.589690149689801,0.00011122244488977957,,
16,stage1,1,8.854106903076172,1.5558740384438763,0.00011202404809619239,,
17,stage2,1,8.806327819824219,1.5521836748817361,0.00011282565130260521,,
18,stage2,1,8.761198043823242,1.5543288106453725,0.00011362725450901804,,
19,stage2,1,8.720498085021973,1.544818586025062,0.00011442885771543088,,
20,stage2,1,8.6800537109375,1.546258925085455,0.0001152304609218437,,
21,stage2,1,8.646864891052246,1.5318820332892529,0.00011603206412825651,,
22,stage2,1,8.614884376525879,1.513271339048539,0.00011683366733466935,,
23,stage2,1,8.579055786132812,1.5032062020359775,0.00011763527054108217,,
24,stage2,1,8.538675308227539,1.4951791829865897,0.000118436873747495,,
25,stage2,1,8.499773025512695,1.4922435807127001,0.00011923847695390782,,
26,stage2,1,8.469491958618164,1.46380849025872,0.00012004008016032065,,
27,stage2,1,8.43879222869873,1.4441059649180608,0.00012084168336673347,,
28,stage2,1,8.400616645812988,1.4490174612353717,0.00012164328657314629,,
29,stage2,1,8.36013126373291,1.4401023727133941,0.00012244488977955912,,
30,stage2,1,8.33403205871582,1.4152017958061955,0.00012324649298597196,,
31,stage2,1,8.288874626159668,1.4196410377473174,0.00012404809619238476,,
32,stage2,1,8.256698608398438,1.4051423014287814,0.0001248496993987976,,
33,stage2,1,8.221532821655273,1.4035579759980181,0.00012565130260521043,,
34,stage2,1,8.186392784118652,1.3943191911991568,0.00012645290581162326,,
35,stage2,1,8.149102210998535,1.3820911842993329,0.00012725450901803607,,
36,stage2,1,8.123821258544922,1.3604760093640331,0.0001280561122244489,,
37,stage2,1,8.097834587097168,1.3321328535870696,0.00012885771543086173,,
38,stage2,1,8.076937675476074,1.304764534927,0.00012965931863727457,,
39,stage2,1,8.035694122314453,1.286454582827671,0.00013046092184368737,,
40,stage2,1,8.0150785446167,1.264437784534193,0.0001312625250501002,,
41,stage2,1,7.990567684173584,1.2431169331717788,0.00013206412825651304,,
42,stage2,1,7.960798263549805,1.2298293133213656,0.00013286573146292584,,
43,stage2,1,7.932046413421631,1.2082621923628598,0.00013366733466933868,,
44,stage2,1,7.9025349617004395,1.1757381220553431,0.0001344689378757515,,
45,stage2,1,7.879921913146973,1.1549014218524813,0.00013527054108216434,,
46,stage2,1,7.856422424316406,1.1257519253729,0.00013607214428857717,,
47,stage2,1,7.837711811065674,1.1042419040418288,0.00013687374749498998,,
48,stage2,1,7.813488960266113,1.0760588779013787,0.0001376753507014028,,
49,stage2,1,7.788817405700684,1.026391154241861,0.00013847695390781565,,
50,stage2,1,7.7783522605896,1.0021624212442617,0.00013927855711422845,,
51,stage2,1,7.7593889236450195,0.9517959928118128,0.00014008016032064128,,
52,stage2,1,7.736188888549805,0.9359931399496092,0.00014088176352705412,,
53,stage2,1,7.72407865524292,0.8912844120233901,0.00014168336673346692,,
54,stage2,1,7.698493480682373,0.8515088214241707,0.00014248496993987976,,
55,stage2,1,7.679637908935547,0.8178411546268136,0.0001432865731462926,,
56,stage2,1,7.661709308624268,0.7722928387897934,0.00014408817635270542,,
57,stage2,1,7.640805244445801,0.7226798987987181,0.00014488977955911825,,
58,stage2,1,7.629356861114502,0.6969481662466052,0.00014569138276553106,,
59,stage2,1,7.623571872711182,0.6497864139464297,0.0001464929859719439,,
60,stage2,1,7.614814281463623,0.6081433275864178,0.00014729458917835673,,
61,stage2,1,7.592409610748291,0.5711613045016575,0.00014809619238476953,,
62,stage2,1,7.595693588256836,0.5200986266396641,0.00014889779559118237,,
63,stage2,1,7.587416648864746,0.4668456306236338,0.0001496993987975952,,
64,stage2,1,7.573791980743408,0.4342281484839432,0.000150501002004008,,
65,stage3,1,7.5767436027526855,0.3920050766153274,0.00015130260521042084,,
66,stage3,1,7.5758562088012695,0.33349555241455053,0.00015210420841683367,,
67,stage3,1,7.567010402679443,0.28189161673499535,0.0001529058116232465,,
68,stage3,1,7.56398868560791,0.2518959962801592,0.00015370741482965934,,
69,stage3,1,7.563635349273682,0.21077649575321036,0.00015450901803607214,,
70,stage3,1,7.555459499359131,0.17536800294793445,0.00015531062124248497,,
71,stage3,1,7.549566268920898,0.14011299414660663,0.0001561122244488978,,
72,stage3,1,7.569855690002441,0.12032295637283953,0.00015691382765531064,,
73,stage3,1,7.563629627227783,0.11753898421016387,0.00015771543086172347,,
74,stage3,1,7.565044403076172,0.12830386581366082,0.00015851703406813628,,
75,stage3,1,7.568573474884033,0.1268764032628889,0.0001593186372745491,,
