step,stage,document_span,train_loss,grad_norm,lr,val_loss,val_ppl
1,stage1,1,9.78042984008789,2.5829164357909966,0.0001,,
2,stage1,1,9.698382377624512,2.49767108479583,0.00010080160320641282,,
3,stage1,1,9.626985549926758,2.493474163178763,0.00010160320641282566,,
4,stage1,1,9.534039497375488,2.4348984983240816,0.00010240480961923848,,
5,stage1,1,9.449678421020508,2.337141853780463,0.00010320641282565131,,
6,stage1,1,9.372296333312988,2.2074749113652903,0.00010400801603206413,,
7,stage1,1,9.298965454101562,2.063583704931635,0.00010480961923847696,,
8,stage1,1,9.252219200134277,2.038365716903178,0.00010561122244488978,,
9,stage1,1,9.168840408325195,1.8641585357178583,0.00010641282565130261,,
10,stage1,1,9.136655807495117,1.8351816052223957,0.00010721442885771543,,
11,stage1,1,9.062273025512695,1.7335265656761647,0.00010801603206412827,,
12,stage1,1,9.027825355529785,1.724443205662227,0.00010881763527054109,,
13,stage1,1,8.9650297164917,1.6710273482483813,0.00010961923847695392,,
14,stage1,1,8.929346084594727,1.610984972453795,0.00011042084168336674,,
15,stage1,1,8.884845733642578,1.599678463291608,0.00011122244488977957,,
16,stage1,1,8.836012840270996,1.5771675055554328,0.00011202404809619239,,
17,stage1,1,8.803681373596191,1.5407158989292062,0.00011282565130260521,,
18,stage1,1,8.761978149414062,1.5337678809554618,0.00011362725450901804,,
19,stage1,1,8.727580070495605,1.5176572635568295,0.00011442885771543088,,
20,stage1,1,8.685169219970703,1.522336021165614,0.0001152304609218437,,
21,stage1,1,8.64833927154541,1.5147666230115588,0.00011603206412825651,,
22,stage1,1,8.610377311706543,1.4986609524576306,0.00011683366733466935,,
23,stage1,1,8.576671600341797,1.4889076224806195,0.00011763527054108217,,
24,stage1,1,8.539939880371094,1.4752465055115285,0.000118436873747495,,
25,stage1,1,8.503686904907227,1.4596776469224,0.00011923847695390782,,
26,stage1,1,8.458274841308594,1.4763902450916053,0.00012004008016032065,,
27,stage1,1,8.424361228942871,1.4571772399850844,0.00012084168336673347,,
28,stage1,1,8.38164234161377,1.4582584573937076,0.00012164328657314629,,
29,stage1,1,8.35866928100586,1.432575313557352,0.00012244488977955912,,
30,stage1,1,8.315877914428711,1.4330251506472613,0.00012324649298597196,,
31,stage1,1,8.283745765686035,1.4076132990355683,0.00012404809619238476,,
32,stage1,1,8.244243621826172,1.4109474387306855,0.0001248496993987976,,
33,stage1,1,8.214948654174805,1.3932017874727847,0.00012565130260521043,,
34,stage1,1,8.186139106750488,1.3825351513858117,0.00012645290581162326,,
35,stage1,1,8.157068252563477,1.3582018556274726,0.00012725450901803607,,
36,stage1,1,8.12034797668457,1.3547971246673516,0.0001280561122244489,,
37,stage1,1,8.098573684692383,1.3126877947353754,0.00012885771543086173,,
38,stage1,1,8.069341659545898,1.2892670291568282,0.00012965931863727457,,
39,stage1,1,8.036815643310547,1.2613453811020223,0.00013046092184368737,,
40,stage1,1,8.00341510772705,1.2481572063476618,0.0001312625250501002,,
41,stage1,1,7.9717278480529785,1.2376748257952206,0.00013206412825651304,,
42,stage1,1,7.942739009857178,1.2249906428825914,0.00013286573146292584,,
43,stage1,1,7.925668716430664,1.187963846543513,0.00013366733466933868,,
44,stage1,1,7.901525974273682,1.1582177236537279,0.0001344689378757515,,
45,stage1,1,7.881553649902344,1.1103098841592374,0.00013527054108216434,,
46,stage1,1,7.833240985870361,1.1213241661342657,0.00013607214428857717,,
47,stage1,1,7.82730770111084,1.0684525822552624,0.00013687374749498998,,
48,stage1,1,7.797264575958252,1.0306409309571132,0.0001376753507014028,,
49,stage1,1,7.76718807220459,1.0199488587174455,0.00013847695390781565,,
50,stage1,1,7.751436710357666,0.9802923022035317,0.00013927855711422845,,
51,stage1,1,7.73123836517334,0.9430406771627768,0.00014008016032064128,,
52,stage1,1,7.715022563934326,0.894681527971353,0.00014088176352705412,,
53,stage1,1,7.68740701675415,0.8632494642501632,0.00014168336673346692,,
54,stage1,1,7.6779046058654785,0.8022738124541559,0.00014248496993987976,,
55,stage1,1,7.668387413024902,0.7508726064766837,0.0001432865731462926,,
56,stage1,1,7.6561455726623535,0.6968831691018471,0.00014408817635270542,,
57,stage1,1,7.638152599334717,0.6610122075885986,0.00014488977955911825,,
58,stage1,1,7.6319756507873535,0.5994914452511049,0.00014569138276553106,,
59,stage1,1,7.618626117706299,0.5721175903198304,0.0001464929859719439,,
60,stage1,1,7.599368572235107,0.5422181618833966,0.00014729458917835673,,
61,stage2,1,7.598421573638916,0.4743802860295117,0.00014809619238476953,,
62,stage2,1,7.586250305175781,0.4281742847152435,0.00014889779559118237,,
63,stage2,1,7.573716163635254,0.3920158632018079,0.0001496993987975952,,
64,stage2,1,7.577029705047607,0.3420281690911064,0.000150501002004008,,
65,stage2,1,7.56787109375,0.29355298190606166,0.00015130260521042084,,
66,stage2,1,7.566944122314453,0.275104893464788,0.00015210420841683367,,
67,stage2,1,7.556184768676758,0.23825829390853753,0.0001529058116232465,,
68,stage2,1,7.5613555908203125,0.20116894080967998,0.00015370741482965934,,
69,stage2,1,7.566993713378906,0.17903784158348357,0.00015450901803607214,,
70,stage2,1,7.562581539154053,0.13906859993772425,0.00015531062124248497,,
71,stage2,1,7.558693885803223,0.12248785279974295,0.0001561122244488978,,
72,stage2,1,7.542053699493408,0.12094347422951693,0.00015691382765531064,,
73,stage2,1,7.544326305389404,0.12273834208184396,0.00015771543086172347,,
74,stage2,1,7.5511322021484375,0.09375071583641983,0.00015851703406813628,,
75,stage2,1,7.5589728355407715,0.11616692314922866,0.0001593186372745491,,
76,stage2,1,7.545497417449951,0.11858483716964285,0.00016012024048096194,,
77,stage2,1,7.553606033325195,0.13168683976462378,0.00016092184368737475,,
78,stage2,1,7.563937664031982,0.1313456118874276,0.00016172344689378758,,
79,stage2,1,7.566054344177246,0.16223862964182248,0.00016252505010020042,,
80,stage2,1,7.553985118865967,0.14049924495620858,0.00016332665330661322,,
81,stage2,1,7.563904762268066,0.14633158537582058,0.00016412825651302606,,
82,stage2,1,7.562892436981201,0.12470664641387744,0.0001649298597194389,,
83,stage2,1,7.572688102722168,0.151031157878691,0.0001657314629258517,,
84,stage2,1,7.553609848022461,0.14164269298862409,0.00016653306613226455,,
85,stage2,1,7.556578636169434,0.1126539448771436,0.00016733466933867736,,
86,stage2,1,7.564107894897461,0.13299044299647597,0.0001681362725450902,,
87,stage2,1,7.554139137268066,0.1191307240655787,0.00016893787575150303,,
88,stage2,1,7.549248695373535,0.10405452528267146,0.00016973947895791583,,
89,stage2,1,7.543970108032227,0.10349666745690851,0.00017054108216432866,,
90,stage2,1,7.556611061096191,0.10464236222945882,0.0001713426853707415,,
91,stage2,1,7.549375534057617,0.10056738319979112,0.0001721442885771543,,
92,stage2,1,7.564093112945557,0.1414812556666732,0.00017294589178356714,,
93,stage2,1,7.560070991516113,0.14002577007443037,0.00017374749498997997,,
94,stage2,1,7.541149139404297,0.11256779964915058,0.00017454909819639277,,
95,stage2,1,7.553632736206055,0.11182346874925465,0.00017535070140280563,,
96,stage2,1,7.550685405731201,0.11629753254145221,0.00017615230460921844,,
97,stage2,1,7.548900604248047,0.11639291844226614,0.00017695390781563127,,
98,stage2,1,7.544501781463623,0.11897490832788499,0.0001777555110220441,,
99,stage2,1,7.556856155395508,0.09590643886809844,0.0001785571142284569,,
100,stage2,1,7.536888122558594,0.10740140490860968,0.00017935871743486975,,
101,stage2,1,7.554577827453613,0.11537455684202395,0.00018016032064128258,,
102,stage2,1,7.559720039367676,0.11068714957667167,0.00018096192384769538,,
103,stage2,1,7.5432353019714355,0.12953638159856745,0.00018176352705410824,,
104,stage2,1,7.54633092880249,0.10523281603069548,0.00018256513026052105,,
105,stage2,1,7.554952144622803,0.12797305673570628,0.00018336673346693386,,
106,stage2,1,7.564307689666748,0.15074478400191632,0.00018416833667334672,,
107,stage2,1,7.563902854919434,0.12718927101602956,0.00018496993987975952,,
108,stage2,1,7.565337181091309,0.12727118361340473,0.00018577154308617235,,
109,stage2,1,7.553366184234619,0.12201546585427679,0.0001865731462925852,,
110,stage2,1,7.558376312255859,0.11541002474643054,0.000187374749498998,,
111,stage2,1,7.562935829162598,0.10102238132466043,0.00018817635270541083,,
112,stage2,1,7.556882381439209,0.10025568330565411,0.00018897795591182366,,
113,stage2,1,7.556245803833008,0.13479061024010186,0.00018977955911823646,,
114,stage2,1,7.563627243041992,0.12150973307730234,0.00019058116232464932,,
115,stage2,1,7.561738014221191,0.09489995565374523,0.00019138276553106213,,
116,stage2,1,7.563894271850586,0.10554237726143242,0.00019218436873747496,,
117,stage2,1,7.585620403289795,0.1465847166072829,0.0001929859719438878,,
118,stage2,1,7.566154956817627,0.1185924354642185,0.0001937875751503006,,
119,stage2,1,7.561670780181885,0.10231988727518831,0.00019458917835671343,,
120,stage2,1,7.567713737487793,0.09569446926843478,0.00019539078156312627,,
121,stage2,1,7.559566020965576,0.11067608422634079,0.00019619238476953907,,
122,stage2,1,7.55330753326416,0.11446389244410485,0.0001969939879759519,,
123,stage2,1,7.568197727203369,0.1329326315651947,0.00019779559118236474,,
124,stage2,1,7.573422908782959,0.09853502746430884,0.00019859719438877755,,
125,stage2,1,7.576707363128662,0.09936477144374983,0.0001993987975951904,,
126,stage2,1,7.562478542327881,0.11416791517339231,0.0002002004008016032,,
127,stage2,1,7.567971229553223,0.1269797571522073,0.00020100200400801602,,
128,stage2,1,7.55833625793457,0.092928428539689,0.00020180360721442888,,
129,stage2,1,7.557296276092529,0.11061443512705649,0.00020260521042084168,,
130,stage2,1,7.55397367477417,0.11876269168976457,0.00020340681362725452,,
131,stage2,1,7.558766841888428,0.1184006932388599,0.00020420841683366735,,
132,stage2,1,7.555066108703613,0.12362096760427513,0.00020501002004008015,,
133,stage2,1,7.564932823181152,0.11579436289722492,0.000205811623246493,,
134,stage2,1,7.5669355392456055,0.09985725949824745,0.00020661322645290582,,
135,stage2,1,7.554108142852783,0.10733168715828613,0.00020741482965931863,,
136,stage2,1,7.557106018066406,0.11206791288086439,0.00020821643286573149,,
137,stage2,1,7.5800676345825195,0.09677254199952058,0.0002090180360721443,,
138,stage2,1,7.581275463104248,0.1035591455807928,0.00020981963927855712,,
139,stage2,1,7.560098648071289,0.10857808091810331,0.00021062124248496996,,
140,stage2,1,7.565574645996094,0.09651655083688121,0.00021142284569138276,,
141,stage2,1,7.562844276428223,0.10777302982702777,0.0002122244488977956,,
142,stage2,1,7.560977935791016,0.10556164794251133,0.00021302605210420843,,
143,stage2,1,7.578499794006348,0.10066521745710491,0.00021382765531062126,,
